State_yyyy-yy,Domestic,Commercial,Industrial (Low & Med. Voltage),Industrial (High Voltage),Public Lighting,Traction,Agriculture,Public Water Works & Sewage Pumping,Miscellaneous,Total Energy Sold(GWH)
Nagaland-2019-20,388.0386,99.5112,68.4114,0,15.1674,0,0,10.584744,111.00558,692.718924
Mizoram-2019-20,288.912712,48.281923,1.658115,9.25587,2.114516,0,0.141906,64.290471,71.742065,486.397578
Meghalaya-2019-20,465.1873567,99.19360612,5.84142014,626.6631098,0.11894,0,0.314628,41.85912368,102.5653788,1341.743563
Manipur-2019-20,388.0834,68.1242,21.4858,9.3112,10.1867,0,2.1836,21.8154,109.9731,631.1634
Arunachal Pradesh-2019-20,167.3763789,51.52861632,4.422245697,117.6662261,10.22047987,0,0.03073127,0,67.44409835,418.6887765
A & N Islands-2019-20,143.164398,70.449381,12.815691,0,6.731452,0,1.116108,0,34.227655,268.504685
Sikkim-2019-20,107.94,42.05,1.85,226.64,0.34,0,0,0,32.53,411.35
West Bengal $-2019-20,17028.10195,6671.224311,2316.321819,20603.08604,770.228422,1868.618569,1398.75,1007.230622,2719.530392,54383.09213
Kerala-2019-20,11966.64773,5166.96324,1165.420084,4534.543062,369.3823906,323.667361,360.473509,0.26408,664.652347,24552.0138
Tamil Nadu-2019-20,29140.33648,10942.37175,9622.861521,33920.69696,1151.866821,971.71,13828.26,1151.866821,2854.364678,103584.335
Puducherry-2019-20,810.59,219.86,183.69,1589.199834,23.41,0,55.32,0,24.31,2906.379834
Lakshadweep-2019-20,35.58822,11.531695,0.356027,0,0.805679,0,0,0,0.142593,48.424214
Bihar-2019-20,13497.49954,2126.527307,654.093728,3158.465676,106.212247,1442.74,932.9438901,130.989231,1127.52847,23177.00009
Assam-2019-20,3652,1078,113.7995237,2798.993268,14,0,37,77,586,8356.792792
Odisha-2019-20,7522.808173,2309.183618,376.670913,58822.84183,229.456981,1473.55,579.154055,327.031357,859.385868,72500.0828
Gujarat-2020-21,16510.22255,4314.362225,14606.24149,62086.19664,152.0521422,433.2099,12663.81701,2108.357029,362.34458,113236.8036
Madhya Pradesh-2020-21,16790.80527,3370.135075,1291.372651,18827.8997,470.4380779,1806.89,25645.52374,1378.989189,952.3452563,70534.39897
Maharashtra-2020-21,30193.00687,9546.776546,9880.650578,42391.54196,1863.287275,1996.29224,33912.33,3047.288056,1832.086416,134663.2599
Daman & Diu-2020-21,138.236744,39.868,184.481438,1750.336752,5.523333,0,3.398798,2.457702,12.873395,2137.176162
D & N Haveli-2020-21,149.2812737,32.651062,193.094585,4921.258125,2.445288116,0,4.85285,5.152856,0,5308.73604
Goa-2020-21,1265.681089,424.679619,106.122199,2472.211894,26.288953,0,31.250416,0,36.184119,4362.418289
Andhra Pradesh-2020-21,17477.78682,3051.168343,2280.092247,21925.6459,214.6586716,1399.210588,9368.731891,630.921808,3066.164739,59414.381
Chhattisgarh-2020-21,6447.31905,1419.512045,609.665427,32421.99512,98.47,908.452044,5902.811392,460.717636,0,48268.94272
Uttarakhand-2020-21,3207.307103,1337.352,261.223,6310.326024,53.26605,25.1,189.988,498.453281,210,12093.01546
Uttar Pradesh-2020-21,43955.074,6285.629,3985.687,22303.80632,732.822,1424.2,18931.272,1637.922,6395.683,105652.0953
Rajasthan-2020-21,14257.92768,4092.87421,2113.692135,20893.08549,339.07406,231.5,28525.47865,2584.75563,1205.702081,74244.08994
Punjab-2020-21,15324,3465,3130,15206.80072,210,122.8,13092.85,0,2354.1,52905.55072
Jammu & Kashmir-2020-21,4887.709,1707.244918,238.226275,926.640011,127.03,9.4,361.568,779.5929,948.171308,9985.582412
Himachal Pradesh-2020-21,2356.535,518.424,85.027,4824.032678,10.479,0,72.639,602.924,301.857,8771.917678
Haryana-2020-21,11970.23644,4005.993197,2045.884405,14142.99179,168.008906,286,10087.49502,1148.407362,1473.621738,45328.63886
Delhi-2020-21,16439.51825,5314.069827,2341.121574,478.7554178,328.0869402,77.5,39.44388167,644.3654482,657.0023369,26319.86368
Assam-2020-21,3784.977302,1099.732755,120.1196239,2910.349145,18.65116683,0,39,80.37868808,642.6998984,8695.90858
Telangana-2020-21,12806.96633,4843.069126,1228.277696,14256.60167,342.2233636,567.4773208,22260.114,980.7176039,3619.889812,60905.33692
Karnataka-2020-21,15668.5549,6759.469442,1913.201404,21193.53486,1036.900475,90.221565,22337.19052,3814.184492,1421.450327,74234.70798
Tripura-2020-21,588.2209965,71.99943752,17.39300423,26.05158315,46.06609621,0,37.99524594,75.94848817,118.6561093,982.330961
Nagaland-2020-21,390.03,85.15,63.35,0,20.94,0,0,10.41,112.69,682.57
Mizoram-2020-21,276.241422,52.715092,4.058459,5.540467,2.113575,0,0.163135,82.450034,30.255228,453.537412
